,amt,cnt,amt_ratio,cnt_ratio
1,1462371125475,43988904,0.0341010676978288,0.023455875819906265
2,531970098878,53626683,0.012405023621597405,0.02859495697100065
3,1555823233178,125394999,0.03628027966103661,0.06686344185754821
4,6697240051208,354546941,0.15617310298073084,0.18905242604870612
5,7117150473609,335699466,0.16596500429215014,0.17900252725789315
6,4277291026294,235271105,0.09974225305056522,0.1254518599256787
7,6492187697675,287551637,0.15139148218173107,0.15332901881989974
8,9467592982836,286174169,0.22077503009936086,0.1525945218123386
9,4326795323770,126420637,0.10089664496254598,0.06741033517328478
10,955019011069,26714992,0.02227011145245307,0.014245036313743785
