year_month,category,amt
202301,부페,5019247739
202301,분식,42515278845
202301,양식,21668490171
202301,유흥주점,16862888738
202301,음식배달서비스,619870099
202301,일식/수산물,85989021505
202301,제과/제빵/떡/케익,52085359278
202301,중식,31336574914
202301,커피/음료,80650275892
202301,패스트푸드,37197506528
202301,한식,272073827988
202301,휴게소/대형업체,5411595157
202302,간이주점,45084816075
202302,고기요리,99966161261
202302,닭/오리요리,55737286179
202302,별식/퓨전요리,27980065080
202302,부페,5515307948
202302,분식,43638718084
202302,양식,22009938730
202302,유흥주점,16570982402
202302,음식배달서비스,741129465
202302,일식/수산물,80835837576
202302,제과/제빵/떡/케익,48553045954
202302,중식,30637038192
202302,커피/음료,80662907341
202302,패스트푸드,36402949228
202302,한식,269798434664
202302,휴게소/대형업체,4839815803
202303,간이주점,50609235633
202303,고기요리,111250289243
202303,닭/오리요리,62898658620
202303,별식/퓨전요리,31202956717
202303,부페,5916539779
202303,분식,50908568754
202303,양식,23264642494
202303,유흥주점,18653188813
202303,음식배달서비스,987871748
202303,일식/수산물,89987822040
202303,제과/제빵/떡/케익,55647284140
202303,중식,33140039372
202303,커피/음료,97625329960
202303,패스트푸드,41261626218
202303,한식,309650887842
202303,휴게소/대형업체,5885375312
202304,간이주점,50762008514
202304,고기요리,110732904697
202304,닭/오리요리,63618999594
202304,별식/퓨전요리,31022245292
202304,부페,5865388019
202304,분식,52554658017
202304,양식,22741524645
202304,유흥주점,18004809011
202304,음식배달서비스,1346760672
202304,일식/수산물,87882067547
202304,제과/제빵/떡/케익,55713479600
202304,중식,33169156719
202304,커피/음료,99044293334
202304,패스트푸드,41798929331
202304,한식,308939074587
202304,휴게소/대형업체,6147781202
202305,간이주점,53446095980
202305,고기요리,115651965203
202305,닭/오리요리,69016708276
202305,별식/퓨전요리,31453148881
202305,부페,6416000541
202305,분식,55107840014
202305,양식,25239032589
202305,유흥주점,17712185370
202305,음식배달서비스,1337903953
202305,일식/수산물,92850511519
202305,제과/제빵/떡/케익,57545419162
202305,중식,33938401479
202305,커피/음료,106502687353
202305,패스트푸드,42980801080
202305,한식,328527296897
202305,휴게소/대형업체,6316304563
202306,간이주점,54263556728
202306,고기요리,109922583720
202306,닭/오리요리,67937036731
202306,별식/퓨전요리,29218907506
202306,부페,5725037122
202306,분식,54369109786
202306,양식,23801070452
202306,유흥주점,17446364828
202306,음식배달서비스,1289220756
202306,일식/수산물,84291451690
202306,제과/제빵/떡/케익,53048010855
202306,중식,32923005769
202306,커피/음료,107218548772
202306,패스트푸드,41928271316
202306,한식,316073171574
202306,휴게소/대형업체,5903575905
202307,간이주점,54254703203
202307,고기요리,112807792095
202307,닭/오리요리,72308601030
202307,별식/퓨전요리,29923788273
202307,부페,5950125940
202307,분식,55070715302
202307,양식,24900961522
202307,유흥주점,18346247503
202307,음식배달서비스,829548724
202307,일식/수산물,84100446241
202307,제과/제빵/떡/케익,51868703867
202307,중식,34542757331
202307,커피/음료,108522071196
202307,패스트푸드,42546653456
202307,한식,322808320287
202307,휴게소/대형업체,5819305996
202308,간이주점,52459918765
202308,고기요리,112014439918
202308,닭/오리요리,65251315950
202308,별식/퓨전요리,30700720371
202308,부페,6134248516
202308,분식,56376570743
202308,양식,25166282081
202308,유흥주점,17599109488
202308,음식배달서비스,1460123625
202308,일식/수산물,85728163595
202308,제과/제빵/떡/케익,53156190927
202308,중식,34458470410
202308,커피/음료,108964024508
202308,패스트푸드,43118982179
202308,한식,321083341202
202308,휴게소/대형업체,6447861249
202309,간이주점,53148004954
202309,고기요리,110427737339
202309,닭/오리요리,62327794337
202309,별식/퓨전요리,31028845243
202309,부페,6047365531
202309,분식,52418379037
202309,양식,22960567591
202309,유흥주점,18094714849
202309,음식배달서비스,1881329071
202309,일식/수산물,88989215306
202309,제과/제빵/떡/케익,59634904218
202309,중식,33387734212
202309,커피/음료,104410672969
202309,패스트푸드,41319376747
202309,한식,315954907933
202309,휴게소/대형업체,6871414404
202310,간이주점,52393510704
202310,고기요리,110462945372
202310,닭/오리요리,65148143325
202310,별식/퓨전요리,35033315768
202310,부페,6612493268
202310,분식,55609979566
202310,양식,24176830882
202310,유흥주점,18039705106
202310,음식배달서비스,2441855886
202310,일식/수산물,89742827505
202310,제과/제빵/떡/케익,57286763198
202310,중식,35038256081
202310,커피/음료,104070300777
202310,패스트푸드,42859108879
202310,한식,326281077965
202310,휴게소/대형업체,6688351786
202311,간이주점,46639927295
