category,amt,cnt,year_month
고기요리,155086006415.0,3405376.0,202302
디저트/음료,128207519734.0,11861201.0,202302
별식/퓨전요리,27891930167.0,1172123.0,202302
분식,43237716055.0,3096075.0,202302
양식,21852789742.0,618238.0,202302
일식/수산물,80684937856.0,1604789.0,202302
중식,30416208579.0,1232912.0,202302
패스트푸드,35978717121.0,2942418.0,202302
한식,268934183737.0,8094045.0,202302
간이주점,50196500001.0,1102589.0,202303
고기요리,173572744361.0,3879699.0,202303
디저트/음료,152152072936.0,14667212.0,202303
별식/퓨전요리,31113973764.0,1328995.0,202303
분식,50491469960.0,3682462.0,202303
양식,23107925133.0,686456.0,202303
일식/수산물,89848088710.0,1834378.0,202303
중식,32893472812.0,1380021.0,202303
패스트푸드,40793262010.0,3461505.0,202303
한식,308738707342.0,9567280.0,202303
간이주점,50417222803.0,1123423.0,202304
고기요리,173801469969.0,3877549.0,202304
디저트/음료,153551146938.0,14902281.0,202304
별식/퓨전요리,30926498192.0,1317234.0,202304
분식,52123891319.0,3727436.0,202304
양식,22594213974.0,672838.0,202304
일식/수산물,87746196716.0,1775173.0,202304
중식,32905419278.0,1394124.0,202304
패스트푸드,41288796820.0,3472365.0,202304
한식,308059739618.0,9559544.0,202304
간이주점,53077801000.0,1192700.0,202305
고기요리,184052586167.0,4041665.0,202305
디저트/음료,162773578913.0,15899445.0,202305
별식/퓨전요리,31356449989.0,1307821.0,202305
분식,54673777765.0,3879562.0,202305
양식,25077999062.0,722967.0,202305
일식/수산물,92707136095.0,1833514.0,202305
중식,33673739788.0,1413684.0,202305
패스트푸드,42500707775.0,3575894.0,202305
한식,327559895714.0,10077397.0,202305
간이주점,53960329471.0,1218462.0,202306
고기요리,177334513751.0,3989189.0,202306
디저트/음료,159031523713.0,16128139.0,202306
별식/퓨전요리,29131956111.0,1246381.0,202306
분식,53957009780.0,3822109.0,202306
양식,23658208608.0,712214.0,202306
일식/수산물,84161057786.0,1718533.0,202306
중식,32671641986.0,1426548.0,202306
패스트푸드,41460179741.0,3493299.0,202306
한식,315246621387.0,9898255.0,202306
간이주점,54019052159.0,1203606.0,202307
고기요리,184655826539.0,4107712.0,202307
디저트/음료,159313286698.0,15914939.0,202307
별식/퓨전요리,29843490898.0,1250902.0,202307
분식,54664390342.0,3740727.0,202307
양식,24761860896.0,706874.0,202307
일식/수산물,83983577149.0,1664178.0,202307
중식,34324870156.0,1458145.0,202307
패스트푸드,42153157392.0,3461512.0,202307
한식,322079748081.0,9850398.0,202307
간이주점,52254035901.0,1172041.0,202308
고기요리,176831130826.0,3977732.0,202308
디저트/음료,161075308390.0,16250234.0,202308
별식/퓨전요리,30621241185.0,1290435.0,202308
분식,56005166375.0,3859080.0,202308
양식,25045129512.0,714320.0,202308
일식/수산물,85605797397.0,1714432.0,202308
중식,34256579464.0,1473111.0,202308
패스트푸드,42733795193.0,3522283.0,202308
한식,320394270060.0,10005051.0,202308
간이주점,52937133736.0,1163039.0,202309
고기요리,172275554020.0,3815522.0,202309
디저트/음료,162964672812.0,16079597.0,202309
별식/퓨전요리,30941891333.0,1303462.0,202309
분식,52032787963.0,3746779.0,202309
양식,22836197566.0,660774.0,202309
일식/수산물,88867440891.0,1798279.0,202309
중식,33158585612.0,1428041.0,202309
패스트푸드,40894051463.0,3403944.0,202309
한식,315206134690.0,9788427.0,202309
간이주점,52194253412.0,1158955.0,202310
고기요리,175031665965.0,3947401.0,202310
디저트/음료,160184600375.0,15927531.0,202310
별식/퓨전요리,34920257039.0,1458180.0,202310
분식,55149515325.0,4018105.0,202310
양식,24026648209.0,709566.0,202310
일식/수산물,89601171597.0,1797220.0,202310
중식,34777468331.0,1496458.0,202310
패스트푸드,42376725952.0,3514207.0,202310
한식,325435975590.0,10224513.0,202310
간이주점,46433758867.0,998256.0,202311
고기요리,160156047564.0,3580469.0,202311
디저트/음료,144614574267.0,13893044.0,202311
별식/퓨전요리,33013219235.0,1399178.0,202311
분식,48750044905.0,3610354.0,202311
양식,21456462729.0,629221.0,202311
일식/수산물,82970683564.0,1695610.0,202311
중식,31896174009.0,1374980.0,202311
패스트푸드,37588032163.0,3076149.0,202311
한식,296137678610.0,9368121.0,202311
간이주점,53035823766.0,1067804.0,202312
고기요리,173549616010.0,3664007.0,202312
디저트/음료,156315722518.0,14106134.0,202312
별식/퓨전요리,36192157500.0,1450625.0,202312
분식,50055797010.0,3551201.0,202312
양식,27292611536.0,674161.0,202312
일식/수산물,102558524312.0,1834144.0,202312
중식,35481372914.0,1408160.0,202312
패스트푸드,39961183910.0,3093934.0,202312
한식,326973523337.0,9518843.0,202312
간이주점,48593720610.0,1082552.0,202401
고기요리,156804892939.0,3730768.0,202401
디저트/음료,140432500593.0,14064671.0,202401
별식/퓨전요리,33806884694.0,1486986.0,202401
분식,48336063815.0,3643425.0,202401
양식,23244948364.0,710425.0,202401
일식/수산물,83043886321.0,1786696.0,202401
중식,33021552866.0,1444980.0,202401
패스트푸드,38235750395.0,3216494.0,202401
한식,294789043065.0,9401160.0,202401
간이주점,46572528724.0,1027153.0,202402
고기요리,151213824023.0,3490521.0,202402
디저트/음료,141159303001.0,13750223.0,202402
별식/퓨전요리,30772435681.0,1322966.0,202402
분식,45917467615.0,3354672.0,202402
양식,22501534477.0,666173.0,202402
일식/수산물,82541279016.0,1723835.0,202402
중식,32722354959.0,1380175.0,202402
패스트푸드,37951563642.0,3166797.0,202402
한식,285490596046.0,8841296.0,202402
간이주점,52110194584.0,1085517.0,202403
고기요리,173909189935.0,3763062.0,202403
디저트/음료,158007657549.0,15548069.0,202403
별식/퓨전요리,35064764417.0,1410453.0,202403
분식,53545620849.0,3749877.0,202403
양식,24342771679.0,684681.0,202403
일식/수산물,94000806751.0,1843674.0,202403
중식,35594664850.0,1455177.0,202403
패스트푸드,39572322802.0,3240175.0,202403
한식,338780754108.0,10309008.0,202403
간이주점,50655598136.0,1095474.0,202404
고기요리,166286787216.0,3660672.0,202404
디저트/음료,156938800257.0,16437792.0,202404
별식/퓨전요리,33132728128.0,1365797.0,202404
분식,54200855581.0,3830950.0,202404
양식,22359925439.0,668283.0,202404
일식/수산물,86977922041.0,1766976.0,202404
중식,32210126779.0,1356995.0,202404
패스트푸드,39335872432.0,3321751.0,202404
한식,324912507044.0,10255267.0,202404
간이주점,52596584906.0,1136541.0,202405
고기요리,176248547540.0,3777563.0,202405
디저트/음료,161406664749.0,16490587.0,202405
별식/퓨전요리,37412631215.0,1485267.0,202405
분식,56098499167.0,3836932.0,202405
양식,23854786591.0,676879.0,202405
일식/수산물,92163430189.0,1791960.0,202405
중식,34059305182.0,1380524.0,202405
패스트푸드,39014891076.0,3239655.0,202405
한식,342500219406.0,10465053.0,202405
간이주점,50934598618.0,1129968.0,202406
고기요리,163437780635.0,3637998.0,202406
디저트/음료,155854128415.0,16448757.0,202406
별식/퓨전요리,35594006022.0,1437562.0,202406
분식,54008815414.0,3628247.0,202406
양식,21644169454.0,641278.0,202406
일식/수산물,81827690126.0,1655354.0,202406
중식,31712813502.0,1339962.0,202406
