month,age_group,card_tpbuz_nm_2,amt
202204,30대,패스트푸드,8936265794
202204,30대,한식,50956934859
202204,40대,간이주점,9818817351
202204,40대,고기요리,43567445199
202204,40대,디저트/음료,40051630509
202204,40대,별식/퓨전요리,6553682518
202204,40대,분식,12845233935
202204,40대,양식,5619058073
202204,40대,일식/수산물,22121433985
202204,40대,중식,7859932380
202204,40대,패스트푸드,10686645032
202204,40대,한식,71010483431
202204,50대,간이주점,6732863268
202204,50대,고기요리,38368763773
202204,50대,디저트/음료,29109787856
202204,50대,별식/퓨전요리,5973627920
202204,50대,분식,10367627012
202204,50대,양식,3443359942
202204,50대,일식/수산물,23166792154
202204,50대,중식,6176322088
202204,50대,패스트푸드,6754801112
202204,50대,한식,68959005587
202204,60대+,간이주점,2303825790
202204,60대+,고기요리,21346306431
202204,60대+,디저트/음료,15955161023
202204,60대+,별식/퓨전요리,3643590153
202204,60대+,분식,5723591846
202204,60대+,양식,1485781567
202204,60대+,일식/수산물,16316428091
202204,60대+,중식,3328081841
202204,60대+,패스트푸드,2658647797
202204,60대+,한식,46600458396
202205,20대,간이주점,14136259480
202205,20대,고기요리,24666225906
202205,20대,디저트/음료,22130743133
202205,20대,별식/퓨전요리,3264349602
202205,20대,분식,5633361749
202205,20대,양식,3663274525
202205,20대,일식/수산물,8922606165
202205,20대,중식,3586865555
202205,20대,패스트푸드,7059321199
202205,20대,한식,35203417050
202205,30대,간이주점,12297472688
202205,30대,고기요리,38087365716
202205,30대,디저트/음료,35013064844
202205,30대,별식/퓨전요리,5497920063
202205,30대,분식,9288014131
202205,30대,양식,5726253669
202205,30대,일식/수산물,17421297678
202205,30대,중식,6337946627
202205,30대,패스트푸드,9532861286
202205,30대,한식,59931922257
202205,40대,간이주점,12047564547
202205,40대,고기요리,51520439956
202205,40대,디저트/음료,43169907726
202205,40대,별식/퓨전요리,7336730465
202205,40대,분식,14128240554
202205,40대,양식,6814489521
202205,40대,일식/수산물,25397459938
202205,40대,중식,8991556020
202205,40대,패스트푸드,11297607566
202205,40대,한식,82121251846
202205,50대,간이주점,8076802502
202205,50대,고기요리,44075244352
202205,50대,디저트/음료,31539437281
202205,50대,별식/퓨전요리,6437707224
202205,50대,분식,11423483388
202205,50대,양식,4033763878
202205,50대,일식/수산물,25362358412
202205,50대,중식,6829235122
202205,50대,패스트푸드,7081012643
202205,50대,한식,77991830245
202205,60대+,간이주점,2769651780
202205,60대+,고기요리,24718209136
202205,60대+,디저트/음료,17616106917
202205,60대+,별식/퓨전요리,3941683362
202205,60대+,분식,6531083695
202205,60대+,양식,1758918195
202205,60대+,일식/수산물,17824790236
202205,60대+,중식,3755980664
202205,60대+,패스트푸드,2822454645
202205,60대+,한식,52845217943
202206,20대,간이주점,13362786666
202206,20대,고기요리,22637734539
202206,20대,디저트/음료,20933135404
202206,20대,별식/퓨전요리,3073805444
202206,20대,분식,5375911562
202206,20대,양식,3426263285
202206,20대,일식/수산물,7927276566
202206,20대,중식,3404553164
202206,20대,패스트푸드,6790413609
202206,20대,한식,32187404877
202206,30대,간이주점,12107388611
202206,30대,고기요리,34812949535
202206,30대,디저트/음료,32991840705
202206,30대,별식/퓨전요리,5171657959
202206,30대,분식,8894010758
202206,30대,양식,5415773197
202206,30대,일식/수산물,14637188289
202206,30대,중식,6111063341
202206,30대,패스트푸드,9224374910
202206,30대,한식,55660167145
202206,40대,간이주점,12113165432
202206,40대,고기요리,47260609934
202206,40대,디저트/음료,41291331789
202206,40대,별식/퓨전요리,7011960339
202206,40대,분식,13693385369
202206,40대,양식,6322568421
202206,40대,일식/수산물,21793396094
202206,40대,중식,8800308919
202206,40대,패스트푸드,11104787837
202206,40대,한식,75635336852
202206,50대,간이주점,8180929163
202206,50대,고기요리,41965468725
202206,50대,디저트/음료,30105044057
202206,50대,별식/퓨전요리,6219247102
202206,50대,분식,11196654918
202206,50대,양식,3904904295
202206,50대,일식/수산물,22951192907
202206,50대,중식,6768583424
202206,50대,패스트푸드,7005967026
202206,50대,한식,73895301483
202206,60대+,간이주점,2852197595
202206,60대+,고기요리,24088719993
202206,60대+,디저트/음료,16499168892
202206,60대+,별식/퓨전요리,3865777554
202206,60대+,분식,6384409147
202206,60대+,양식,1778955258
202206,60대+,일식/수산물,16343237953
202206,60대+,중식,3624548663
202206,60대+,패스트푸드,2793444090
202206,60대+,한식,50511481284
202207,20대,간이주점,12702968597
202207,20대,고기요리,21590542618
202207,20대,디저트/음료,20476365287
202207,20대,별식/퓨전요리,2926722334
202207,20대,분식,5283697356
202207,20대,양식,3306371281
202207,20대,일식/수산물,7427022873
202207,20대,중식,3320563064
202207,20대,패스트푸드,6563319399
202207,20대,한식,31060701333
202207,30대,간이주점,12233175000
202207,30대,고기요리,34306076722
202207,30대,디저트/음료,33383018602
202207,30대,별식/퓨전요리,5017039195
202207,30대,분식,8872865280
202207,30대,양식,5364881296
202207,30대,일식/수산물,14067159744
202207,30대,중식,6206493810
202207,30대,패스트푸드,9339660108
202207,30대,한식,54532742853
202207,40대,간이주점,12415520016
202207,40대,고기요리,48911024447
202207,40대,디저트/음료,42046696188
202207,40대,별식/퓨전요리,6945951698
202207,40대,분식,14113326821
202207,40대,양식,6775745966
202207,40대,일식/수산물,21666288768
202207,40대,중식,9166167802
202207,40대,패스트푸드,11546715206
202207,40대,한식,76981034783
202207,50대,간이주점,8365424625
202207,50대,고기요리,43827691041
202207,50대,디저트/음료,30613758164
202207,50대,별식/퓨전요리,6022106547
202207,50대,분식,11539481690
202207,50대,양식,4070076027
202207,50대,일식/수산물,23105239225
202207,50대,중식,6966400879
202207,50대,패스트푸드,7275303786
202207,50대,한식,75919524987
202207,60대+,간이주점,2845431219
202207,60대+,고기요리,25451427144
202207,60대+,디저트/음료,16240094645
202207,60대+,별식/퓨전요리,3569051592
202207,60대+,분식,6454557742
202207,60대+,양식,1814203685
202207,60대+,일식/수산물,15937363620
202207,60대+,중식,3662195111
202207,60대+,패스트푸드,2851465261
202207,60대+,한식,50939811555
202208,20대,간이주점,12410016261
202208,20대,고기요리,20972004196
202208,20대,디저트/음료,20612005192
202208,20대,별식/퓨전요리,3164924889
202208,20대,분식,5425422743
202208,20대,양식,3395495514
202208,20대,일식/수산물,7576793652
202208,20대,중식,3418477106
202208,20대,패스트푸드,6906194752
202208,20대,한식,31561643275
202208,30대,간이주점,11325397158
